,Feature_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Cluster
81775,42d978efff3c27c2162411bc093d2918,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__uncultured,,5
27541,165f05c10f69d8360580042e4366baa1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Saprospiraceae, g__uncultured, s__uncultured_Bacteroidetes,5
96025,4eaedc1514f309f086f36238b89befcb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cytophagaceae, g__Cytophaga, s__Hypsibius_dujardini,5
207043,a9d7d78e7b83991046199620a0b82458,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__OLB12, s__uncultured_bacterium,5
44141,23ed14b7fbbb891f94f4877ef6627b5e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,5
64614,34dab5c3f4dfec6cb8075f86e81a5fb8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,5
243434,c7b148aa2870fe0c5de2738b63e25293,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Spirosomaceae, g__uncultured, s__metagenome,5
56136,2de445af3bcd6cd25e3f432e18ad212d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__Flavobacterium_psychrophilum,5
69586,38dfc61f64b36fe6e2dfe5425906195b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium,,5
78222,3ffc316c2b3ded74193d79b8fa04d56f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Weeksellaceae, g__Chryseobacterium, s__Candidatus_Chryseobacterium,5
19385,0fb92bbfd195ec93e9b03654cfd8464e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767, s__metagenome,5
59528,30b9d453210d468725389c9f62d72d64,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767, s__uncultured_bacterium,5
288409,eca210c274e0ef3c3bc6a274a52b7d0d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767,,5
35001,1c93440aea2a8712bb6f2b50ccfc74ce,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,5
78533,4038e6658e2cdd0b8b0298f1c9aea64a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,5
99652,519ca1979f156b63766aea3651bdc978,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,5
114129,5dae10508dfbe83422a4019ec00697fa,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_Bacteroidetes,5
219970,b474a2672c3305977cf682bb790e3b46,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,5
63768,34277cbc7beeecad72a83b5418fcba51,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__Pedobacter, s__Sphingomonas_sp.,5
206769,a9995d5f92c9b20ce28068bf098e1c2f,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__OM27_clade, s__uncultured_bacterium,5
75635,3de3f6354b93ff46b1dc8adab199293c,d__Bacteria, p__Bdellovibrionota, c__Oligoflexia, o__0319-6G20, f__0319-6G20, g__0319-6G20, s__uncultured_delta,5
178982,92a912770bef6221ea321c14d866535e,d__Bacteria, p__Bdellovibrionota, c__Oligoflexia, o__Oligoflexales, f__uncultured, g__uncultured, s__uncultured_bacterium,5
19323,0fad855a42a1f75d87ffbbe49c8e25f8,d__Bacteria, p__Chloroflexi, c__AD3, o__AD3, f__AD3, g__AD3, s__uncultured_bacterium,5
168245,89dc0dac23ac8a1ea46436db604c4186,d__Bacteria, p__Chloroflexi, c__Anaerolineae, o__RBG-13-54-9, f__RBG-13-54-9, g__RBG-13-54-9, s__uncultured_bacterium,5
208506,ab16097a88f980495a398c276a05c235,d__Bacteria, p__Chloroflexi, c__Dehalococcoidia, o__S085, f__S085, g__S085, s__uncultured_bacterium,5
125514,670ca7fcdc37609fafb62c94fd58b786,d__Bacteria, p__Chloroflexi, c__Gitt-GS-136, o__Gitt-GS-136, f__Gitt-GS-136, g__Gitt-GS-136, s__uncultured_bacterium,5
237490,c2cd4f9c80647405fb1a0c1cae027bd8,d__Bacteria, p__Chloroflexi, c__KD4-96, o__KD4-96, f__KD4-96, g__KD4-96,,5
81505,42a83ed857d453058f31ea7343f21c15,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Leptolyngbyales, f__Leptolyngbyaceae, g__Leptolyngbyaceae, s__uncultured_bacterium,5
105094,56281452e6b2ee755781ddc4b3123267,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Pseudanabaenales, f__Pseudanabaenaceae, g__Pseudanabaena_PCC-7429, s__uncultured_bacterium,5
205245,a85ae8cd09011ba1e0712715d30faf63,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Pseudanabaenales, f__Pseudanabaenaceae, g__Pseudanabaena_PCC-7429,,5
152503,7d1b6e2d10ec4ff3324f40bac8a8d4ba,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Erysipelothrix, s__uncultured_Firmicutes,5
122755,64d8a0b3b5e0e70c8fbcddd391a573ba,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__Gemmatimonas,,5
150440,7b719fd060872112b56c963203d34d47,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__Gemmatimonas, s__uncultured_bacterium,5
41637,21fc9e86f93d6943d8bdcc243b6ef139,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__uncultured,,5
117072,600fe4439d30a49cf60bdeaf9c1d9cf3,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__uncultured,,5
27466,164eb924c202ebb3e7ae33ec580bb3c8,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae,,,5
74967,3d51a5aced7dad2974aa568689a94d87,d__Bacteria, p__Latescibacterota, c__Latescibacterota, o__Latescibacterota, f__Latescibacterota, g__Latescibacterota, s__metagenome,5
126352,67b34f544801f8907b234aa90dcc84c7,d__Bacteria, p__Myxococcota, c__Polyangia, o__Haliangiales, f__Haliangiaceae, g__Haliangium,,5
12661,0a491d04d32227076393565ab7dc769e,d__Bacteria, p__Myxococcota, c__Polyangia, o__Polyangiales, f__Sandaracinaceae, g__Sandaracinus, s__uncultured_bacterium,5
48588,27a47eb2fd8aa8d754f7499bc2c1482b,d__Bacteria, p__Nitrospirota, c__4-29-1, o__4-29-1, f__4-29-1, g__4-29-1, s__uncultured_Nitrospira,5
4141,03671b1dce414ddda2c27fc9fb35d11b,d__Bacteria, p__Patescibacteria, c__Gracilibacteria, o__Gracilibacteria, f__Gracilibacteria, g__Gracilibacteria, s__metagenome,5
3492,02dfe27be1af928ea7e3403878536cfa,d__Bacteria, p__Patescibacteria, c__Parcubacteria, o__Candidatus_Kaiserbacteria, f__Candidatus_Kaiserbacteria, g__Candidatus_Kaiserbacteria,,5
85379,45c75f920e21661864aa5d1db3b41800,d__Bacteria, p__Patescibacteria, c__Parcubacteria, o__Candidatus_Nomurabacteria, f__Candidatus_Nomurabacteria, g__Candidatus_Nomurabacteria, s__uncultured_bacterium,5
3288,02b17bf4eef97266766cf9b968544306,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__LWQ8, g__LWQ8, s__metagenome,5
70969,39f4f819b6e373c00351b56c8995a576,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__Saccharimonadales, g__Saccharimonadales, s__uncultured_bacterium,5
197746,a236c5a213ecc4f3c3664141f54b18b6,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__Saccharimonadales, g__Saccharimonadales,,5
292718,f01f4fbf6ebc3b5184b837eeff926b78,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__Saccharimonadales, g__Saccharimonadales, s__uncultured_bacterium,5
30760,190dc58e446675a1e6d258538cbd94b7,d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__SM1A02, s__metagenome,5
64400,34ad796a3334a66c949b52657775804d,d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__SM1A02,,5
102110,5398b871fe07638f2c7a0bfb5c8206e0,d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__SM1A02, s__metagenome,5
78814,4075627601c1a22dc80d611499a69269,d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Tepidisphaerales, f__WD2101_soil_group, g__WD2101_soil_group, s__uncultured_bacterium,5
298798,f4dbbfa2258d6028edf93b432d6289dc,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__uncultured_bacterium,5
20108,104f64df61409a1a25964aa36d71721f,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_bacterium,5
41480,21d793cfc88852fb9357ffd8b111aeca,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_Planctomycetia,5
73454,3c064518d5e153a3ba5f902661a107c7,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Isosphaerales, f__Isosphaeraceae, g__Tundrisphaera, s__uncultured_bacterium,5
44942,24944b42c54c1638b20111e15c6a4bb0,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Isosphaerales, f__Isosphaeraceae,,,5
100728,527db65188e89d14cf23a168c9ca7f12,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Isosphaerales, f__Isosphaeraceae,,,5
64793,34fe3ebf88e4304e5c118c32bb423833,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Pirellula, s__agricultural_soil,5
65377,35800cf1a01d2fb458a18105b259edb9,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Pirellula, s__metagenome,5
57397,2ef14b19da1c28315e4d6e08ad25ed45,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__uncultured, s__metagenome,5
93198,4c588fbfa10f024cdf9cf49d580cb379,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__uncultured,,5
277001,e344c471b9bf4c9bc16aa1fb162cdd7c,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__Rubinisphaeraceae, g__uncultured, s__metagenome,5
57371,2eece6b7239c9969d75cd83b688b9f37,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__uncultured, g__uncultured, s__metagenome,5
120832,6347ccac20254552ff4d438a20c64242,d__Bacteria, p__Planctomycetota, c__vadinHA49, o__vadinHA49, f__vadinHA49, g__vadinHA49, s__uncultured_bacterium,5
111130,5b3bf5a6f691afa56e76171a93d3ff11,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acidiphilium, s__uncultured_Alphaproteobacteria,5
57585,2f1990ce24070176bc6139304848620d,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__uncultured,,5
104401,558dc2631bfe88176ec26f8315432c36,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__uncultured, s__metagenome,5
26336,156622b713e9027c80c83c5cc433f4f6,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Phenylobacterium,,5
60924,31d697dfcfa9673baa240b740c32fd17,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Phenylobacterium,,5
106134,570fb0802d01c0537106733784eb4ad8,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Hyphomonadaceae, g__Hirschia, s__metagenome,5
46669,26122fc82956c43ca1f15b191f0fa66b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Hyphomonadaceae, g__SWB02, s__uncultured_bacterium,5
98690,50d9250a9d51946aefcddc496ed2fb40,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Reyranellales, f__Reyranellaceae, g__uncultured,,5
153118,7d9a3a6897bce86454f35ec0397c6d86,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__A0839, g__A0839, s__uncultured_sludge,5
114805,5e393820e8222ec86ec3e38078a0ec03,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae, g__Hyphomicrobium,,5
49302,283961f47a24616939038e9445cb137c,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured,,5
60493,317c4c30f33cb1bdf27f58dfc13c0482,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured, s__uncultured_bacterium,5
181081,946978a7f0fea0e7db2d11599b3ab8b9,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured, s__uncultured_bacterium,5
197405,a1eb0660be70e53ea711b1dcdfa5652e,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured, s__uncultured_bacterium,5
16850,0db5e2d5bff6d5542a3c9dfc0a6f9962,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__uncultured, g__uncultured, s__uncultured_Hyphomicrobiaceae,5
158929,82580839f205266ae249339e3479692c,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae, g__Afipia,,5
15525,0ca0df6317afcbad4f14d364cb4557a1,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae, g__Pseudolabrys,,5
165942,87fad86294d60d6b47568b2734e0bb1f,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae, g__Rhodopseudomonas,,5
28968,178c8138f7ef908b45d48efa7cdcdd16,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae,,,5
267283,db737006759c68e97c437f26cb3ede6c,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae,,,5
54640,2ca65c9889a26eb61b3a1be26bbd6867,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Flavimaricola, s__metagenome,5
85071,4582afc08ac27c172fec8df26c155222,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rhodobacter,,5
86133,466c9e6fbf0e20086c3346a64cf40747,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,,5
198491,a2ce354d7f0072d6603f6ebab7fbb524,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,,5
236866,c246620d75c973765bf5d803c5693f91,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Parablastomonas, s__uncultured_bacterium,5
37673,1ebcc76119a4a97ec3e3c484aad11544,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Polymorphobacter,,5
130867,6b5213c7575270871f4c0777384d2363,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Polymorphobacter,,5
13328,0ad1180a31f88f2c802b2c0164e03c20,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Rhizorhapis, s__uncultured_bacterium,5
82317,434614e1077f20f2580740c7adf2d94c,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas,,5
54725,2cb641738fe0823d1c3fb0b7b62f2f6b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,5
287703,ec0bea53b653231acebdacf20553402a,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,5
107523,584049d8b246d3cb976056a1a66ad99c,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Leptothrix,,5
7665,063bed17ee6f0d9cd446b2c2a0766278,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas,,5
76325,3e6ec00e4feef00e4c4854ce72c3412b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas, s__Polaromonas_sp.,5
5050,0428b8c445e7602b109136926b2ec815,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhizobacter,,5
22013,11e3f99975c7258f35b02ecbfd4392d1,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhizobacter,,5
22213,12091cdee58e3db723171d13359562ba,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhizobacter,,5
68650,381bc1b7aadd23e73b0948e814700122,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,5
107911,58941130239b2956cbdcef5921a6bf02,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,5
109636,59fd643c3df979de0622f23da3259055,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,5
239187,c436299dbab0c01ba3b19b9172855cd8,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,5
244069,c8392b6dacc389d1bd46d3b00e794590,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,5
27605,166bb7f7f86593ca608c0914d40a8c33,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,5
91560,4af68bcc715ae3248fdfd2de5435985c,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,5
17245,0e0316d733de386b2087af1b0d7049c5,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Gallionellaceae, g__Sideroxydans,,5
59276,3081523acdc89ca894e2ae8ff65fbefe,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Gallionellaceae, g__Sideroxydans,,5
68262,37cc1ec5028177d2188d3048dfe2f179,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Gallionellaceae, g__Sideroxydans, s__uncultured_bacterium,5
29927,1865d4b79f4be3e456e5060f92a4c3be,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Gallionellaceae,,,5
34993,1c91ba461fde9886a6c3b5221f74b7c3,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__Methylotenera,,5
50633,295536397d4f7ba7427941b5ddfd5486,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__Methylotenera, s__uncultured_bacterium,5
91254,4ab2a783a09dcb0c4dc122c0693bb0ff,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__Methylotenera,,5
213641,af52439746943e5478dd59ece9bef0f7,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__Methylotenera, s__uncultured_bacterium,5
14846,0c0e9b96ea7e8fc07a3f00b4ec561818,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Ellin6067, s__uncultured_beta,5
114527,5e00840965c7a3dacd7ef3bc5b9b7d21,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Ellin6067, s__uncultured_beta,5
149821,7aeb004901594859939f16f99558d0d9,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Ellin6067,,5
170204,8b85a669e6b836510249956bb12fd26b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Ellin6067,,5
213320,af0fb539ab520059e216816581e16ab0,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__IS-44, s__metagenome,5
25257,1487eba7a7d335d5ed7abf67f558bf86,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__MND1, s__uncultured_beta,5
45156,24bfcfa293fc873ead5d15b666b55289,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__MND1,,5
175203,8f926b1d6b26d122f7696171e27b843f,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__MND1,,5
33357,1b2b6f04a9a827f10afaf4d8e60c9fd7,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Nitrosomonas,,5
7525,06222f4844f97089824e42d02450ec32,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Nitrosospira,,5
24164,13995bc513c32c128611f08b0bad48a7,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Nitrosospira,,5
32263,1a48cb4c63b0235506fe2b25ab703c39,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae,,,5
20596,10b6eb14a109c094f27a6304aa6a600d,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99,,5
20948,110004e9c1ea0b0f94ad303a0146369d,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99, s__uncultured_bacterium,5
255039,d1665cc8734c9111e635d499427d6c58,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99,,5
277872,e402bb4a39ca262db373c766fe8a32a2,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99,,5
278357,e46656a01c597c5494f67e30db099a50,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99, s__uncultured_bacterium,5
13358,0ad82ece7dba90d7fabc1889b295a1db,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ga0077536, f__Ga0077536, g__Ga0077536, s__metagenome,5
145487,775f399e503dc57f5c831ade08249e0a,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Salinisphaerales, f__Solimonadaceae, g__uncultured, s__uncultured_bacterium,5
79787,41456182700d87e83709622deeca9494,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Rhodanobacteraceae, g__Pseudofulvimonas, s__uncultured_soil,5
104684,55cf9a11f07c264a9f5eea7f70c28acb,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Arenimonas,,5
193618,9ec0d6903b052d25fd687e37ba1de6a3,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Lysobacter, s__Lysobacter_sp.,5
251790,cea1a2511aa3f81e8201ebb49f82b9ea,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__uncultured,,5
193062,9e4b0c41043b150da98b61ef4dc3fe23,d__Bacteria, p__Verrucomicrobiota, c__Omnitrophia, o__Omnitrophales, f__Omnitrophaceae, g__Candidatus_Omnitrophus, s__metagenome,5
99225,514723ec9f4ef249111cd63f4ff833eb,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Chthoniobacterales, f__Chthoniobacteraceae, g__Chthoniobacter,,5
68873,384f0ab17ae9927d66cedb9456542f3a,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Opitutaceae, g__Lacunisphaera, s__uncultured_bacterium,5
63150,339e780f57d3563ceda12e81b7f41c0e,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__Ellin517, s__metagenome,5
45881,256226edb36b799ebd61c27c9a0c4748,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__Pedosphaeraceae,,5
171159,8c47fe03459fa4e74e6047145c806f38,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__Pedosphaeraceae,,5
10388,086d031f5a0b45386608b23fd876d77a,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__uncultured, s__metagenome,5
45633,2529bb39885d699e19a299a4fc16405a,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Rubritaleaceae, g__Luteolibacter, s__Verrucomicrobium_sp.,5
98370,5092cd2fdd31d06ac1890c9ccabd3841,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Rubritaleaceae, g__Luteolibacter,,5
